year,line,policies,claims,written_premium,claims_paid
2016,AO,1717804,60098,220964617,138042752
2016,AO_PLUS,1201301,2075,27772816,6585919
2016,KASKO,1223853,254504,232686689,171451332
2017,AO,1829621,60274,229167792,144012018
2017,AO_PLUS,1264966,1635,26270211,5832549
2017,KASKO,1038508,248969,255947415,181398308
2018,AO,1914134,65157,244184102,159044220
2018,AO_PLUS,1333289,1528,26760336,6631284
2018,KASKO,1093485,258760,284225726,195955519
2019,AO,2086215,66197,269082720,167154332
2019,AO_PLUS,1401617,1309,27861759,6143100
2019,KASKO,1164974,257049,307694110,201843675
2020,AO,2083353,57281,267037576,157172735
2020,AO_PLUS,1397813,1151,26587253,5684292
2020,KASKO,1160810,233506,317594625,197666850
2021,AO,2163904,52554,261223096,153940815
2021,AO_PLUS,1506886,1217,27100370,5527551
2021,KASKO,1238382,221508,335960201,197295294
2022,AO,2263768,59580,285824291,173361243
2022,AO_PLUS,1548848,1039,28382952,6228541
2022,KASKO,1287093,234452,373429513,237468435
2023,AO,2453745,64968,351140685,199986280
2023,AO_PLUS,1612689,952,32819526,6531830
2023,KASKO,1435477,251310,451209020,302750700
2024,AO,2642402,76197,413504097,231462612
2024,AO_PLUS,1664085,988,35514651,6021555
2024,KASKO,1663748,268000,518095506,327810764
2025,AO,2750000,78000,440000000,250000000
2025,AO_PLUS,1700000,1000,37000000,6300000
2025,KASKO,1750000,260000,550000000,340000000



